fecha,villa victoria Almacenamiento,villa victoria porcentaje Almacenamiento,villa victoria lluvia,valle de bravo Almacenamiento,valle de bravo porcentaje Almacenamiento,valle de bravo lluvia,el bosque Almacenamiento,el bosque porcentaje Almacenamiento,el bosque lluvia,suma almacenamiento,almacenamiento,
01/11/2018,178.919,96.33,6.1,380.686,96.53,4.5,200.445,99.03,1,"760,050,000",97.13,
02/11/2018,179.808,96.81,21.5,382.494,96.98,3.6,200.675,99.15,0,"762,977,000",97.5,
03/11/2018,180.104,96.97,7.2,384.528,97.5,3,200.79,99.2,13.5,"765,422,000",97.81,
04/11/2018,180.992,97.45,8,386.586,98.02,4.5,200.905,99.26,5,"768,483,000",98.21,
05/11/2018,180.992,97.45,0,388.457,98.5,0,200.79,99.2,0,"770,239,000",98.43,
06/11/2018,181.289,97.61,0,390.347,98.97,0,201.02,99.32,0,"772,656,000",98.74,
07/11/2018,181.289,97.61,0,391.616,99.3,0,201.365,99.49,0,"774,270,000",98.95,
08/11/2018,180.992,97.45,0,392.679,99.57,0,201.365,99.49,0,"775,036,000",99.04,
09/11/2018,180.696,97.29,0,393.747,99.84,1.5,201.135,99.38,0,"775,578,000",99.11,
10/11/2018,180.4,97.13,0,394.39,100,0,201.135,99.38,0,"775,925,000",99.16,
11/11/2018,179.808,96.81,0,394.57,100.05,0,201.365,99.49,0,"775,743,000",99.13,
12/11/2018,179.512,96.65,0,394.39,100,0,201.365,99.49,0,"775,267,000",99.07,
13/11/2018,179.215,96.49,0,394.175,99.95,0,201.25,99.43,0,"774,640,000",98.99,
14/11/2018,179.512,96.65,14.5,394.57,100.05,11.5,201.25,99.43,6.7,"775,332,000",99.08,
15/11/2018,179.512,96.65,0,394.39,100,0,201.02,99.32,0,"774,922,000",99.03,
16/11/2018,179.215,96.49,0,393.533,99.78,0,200.675,99.15,0,"773,423,000",98.84,
17/11/2018,179.215,96.49,0,393.319,99.73,0,200.215,98.92,0,"772,749,000",98.75,
18/11/2018,179.215,96.49,0,393.105,99.67,0,199.87,98.75,0,"772,190,000",98.68,
19/11/2018,179.215,96.49,0,392.892,99.62,0,199.64,98.64,0,"771,747,000",98.62,
20/11/2018,178.919,96.33,0,393.533,99.78,0,199.41,98.52,0,"771,862,000",98.64,
21/11/2018,178.919,96.33,0,394.39,100,0,199.295,98.47,0,"772,604,000",98.73,
22/11/2018,178.919,96.33,0,394.39,100,0,199.295,98.47,0,"772,604,000",98.73,
23/11/2018,178.919,96.33,0,394.39,100,0,199.64,98.64,0,"772,949,000",98.78,
24/11/2018,178.919,96.33,0,394.175,99.95,0,199.755,98.69,0,"772,849,000",98.76,
25/11/2018,178.919,96.33,0,393.961,99.89,0,200.1,98.86,0,"772,980,000",98.78,
26/11/2018,178.919,96.33,0,393.533,99.78,0,200.33,98.98,0,"772,782,000",98.76,
27/11/2018,178.919,96.33,0,392.892,99.62,0,200.675,99.15,0,"772,486,000",98.72,
28/11/2018,178.919,96.33,4,392.892,99.62,1.4,201.135,99.38,1.9,"772,946,000",98.78,
29/11/2018,179.512,96.65,29,392.679,99.57,9,201.71,99.66,17.5,"773,901,000",98.9,
,,,,,,,,,,,,
,,,,,,,,,,,,
