fecha,villa victoria Almacenamiento,villa victoria porcentaje Almacenamiento,villa victoria lluvia,valle de bravo Almacenamiento,valle de bravo porcentaje Almacenamiento,valle de bravo lluvia,el bosque Almacenamiento,el bosque porcentaje Almacenamiento,el bosque lluvia,suma almacenamiento,almacenamiento,
01/11/2016,173.538,93.44,0,388.457,98.5,0,197.204,97.43,0,"759,199,000",97.02,
02/11/2016,173.538,93.44,1.6,388.876,98.6,12,197.008,97.34,0,"759,422,000",97.05,
03/11/2016,173.538,93.44,0,389.295,98.71,1.5,196.812,97.24,0,"759,645,000",97.08,
04/11/2016,173.538,93.44,0,388.876,98.6,0,196.714,97.19,0,"759,128,000",97.01,
05/11/2016,173.538,93.44,0,389.505,98.76,0,196.42,97.05,0,"759,463,000",97.05,
06/11/2016,173.538,93.44,0,389.925,98.87,0,196.322,97,0,"759,785,000",97.09,
07/11/2016,173.538,93.44,18,390.347,98.97,0,196.126,96.9,8,"760,011,000",97.12,
08/11/2016,173.885,93.62,23,390.769,99.08,14.5,196.224,96.95,16.4,"760,878,000",97.23,
09/11/2016,174.477,93.94,8,392.253,99.46,4,196.616,97.14,7.9,"763,346,000",97.55,
10/11/2016,175.958,94.74,15,392.892,99.62,1.5,197.008,97.34,0,"765,858,000",97.87,
11/11/2016,175.958,94.74,2,393.319,99.73,0,197.302,97.48,0,"766,579,000",97.96,
12/11/2016,175.958,94.74,0,393.319,99.73,0,197.915,97.78,0,"767,192,000",98.04,
13/11/2016,175.958,94.74,0,393.319,99.73,0,197.915,97.78,0,"767,192,000",98.04,
14/11/2016,175.958,94.74,0,393.319,99.73,0,198.03,97.84,0,"767,307,000",98.06,
15/11/2016,175.958,94.74,0,393.319,99.73,0,198.03,97.84,0,"767,307,000",98.06,
16/11/2016,175.958,94.74,7.2,393.319,99.73,0,198.26,97.95,5.2,"767,537,000",98.09,
17/11/2016,175.958,94.74,0,393.319,99.73,0,198.26,97.95,0,"767,537,000",98.09,
18/11/2016,175.958,94.74,0,393.319,99.73,0,198.26,97.95,0,"767,537,000",98.09,
19/11/2016,175.958,94.74,0,393.319,99.73,0,198.03,97.84,0,"767,307,000",98.06,
20/11/2016,175.958,94.74,0,393.105,99.67,0,197.4,97.53,0,"766,463,000",97.95,
21/11/2016,175.958,94.74,0,392.466,99.51,0,197.106,97.38,0,"765,530,000",97.83,
22/11/2016,175.662,94.58,0,392.253,99.46,0,196.812,97.24,0,"764,727,000",97.73,
23/11/2016,175.662,94.58,0,392.679,99.57,0,196.42,97.05,0,"764,761,000",97.73,
24/11/2016,175.662,94.58,0,392.679,99.57,0,196.126,96.9,0,"764,467,000",97.69,
25/11/2016,175.662,94.58,0,392.679,99.57,0,195.538,96.61,0,"763,879,000",97.62,
26/11/2016,175.365,94.42,0,392.679,99.57,0,195.342,96.51,0,"763,386,000",97.55,
27/11/2016,175.365,94.42,0,392.679,99.57,0,194.95,96.32,0,"762,994,000",97.5,
28/11/2016,175.069,94.26,0,392.679,99.57,0,194.558,96.13,0,"762,306,000",97.42,
29/11/2016,175.069,94.26,0,392.679,99.57,0,194.166,95.93,0,"761,914,000",97.37,
30/11/2016,174.773,94.1,0,392.679,99.57,0,193.872,95.79,0,"761,324,000",97.29,
,,,,,,,,,,,,
