fecha,villa victoria Almacenamiento,villa victoria porcentaje Almacenamiento,villa victoria lluvia,valle de bravo Almacenamiento,valle de bravo porcentaje Almacenamiento,valle de bravo lluvia,el bosque Almacenamiento,el bosque porcentaje Almacenamiento,el bosque lluvia,suma almacenamiento,almacenamiento,
01/11/2019,147.816,79.59,2.5,350.094,88.77,1,184.252,91.03,11,"682,162,000",87.17,
02/11/2019,148.366,79.88,8.4,350.893,88.97,3.2,186.52,92.15,12.5,"685,779,000",87.64,
03/11/2019,148.916,80.18,0,352.008,89.25,1,187.698,92.74,0,"688,622,000",88,
04/11/2019,150.292,80.92,35,353.12,89.54,7.5,188.58,93.17,3.5,"691,992,000",88.43,
05/11/2019,150.842,81.22,0,354.226,89.82,7,188.972,93.37,2.7,"694,040,000",88.69,
06/11/2019,151.117,81.36,0,355.174,90.06,0,189.56,93.66,0,"695,851,000",88.92,
07/11/2019,151.117,81.36,0,356.276,90.34,0,189.854,93.8,0,"697,247,000",89.1,
08/11/2019,150.842,81.22,0,357.374,90.61,0,189.952,93.85,0,"698,168,000",89.22,
09/11/2019,150.842,81.22,0,358,90.77,0,189.952,93.85,0.8,"698,794,000",89.3,
10/11/2019,153.043,82.4,7.8,358.468,90.89,0,190.05,93.9,14.5,"701,561,000",89.65,
11/11/2019,153.043,82.4,0,358.937,91.01,0,190.05,93.9,0,"702,030,000",89.71,
12/11/2019,153.318,82.55,1,359.446,91.14,2.5,190.246,94,11,"703,010,000",89.84,
13/11/2019,153.593,82.7,0,359.985,91.28,0,190.638,94.19,0.5,"704,216,000",89.99,
14/11/2019,153.868,82.84,0,360.547,91.42,0,190.932,94.33,0,"705,347,000",90.14,
15/11/2019,154.418,83.14,8,361.128,91.57,0,191.03,94.38,0,"706,576,000",90.29,
16/11/2019,154.968,83.44,4,361.879,91.76,1.2,191.226,94.48,0,"708,073,000",90.49,
17/11/2019,154.968,83.44,0,362.497,91.91,0,191.324,94.53,0,"708,789,000",90.58,
18/11/2019,154.418,83.14,0,362.811,91.99,0,191.422,94.58,0,"708,651,000",90.56,
19/11/2019,154.418,83.14,0,363.287,92.11,0,191.324,94.53,0,"709,029,000",90.61,
20/11/2019,154.693,83.29,0,363.77,92.24,0,191.03,94.38,0,"709,493,000",90.67,
21/11/2019,154.968,83.44,0,364.26,92.36,0,190.834,94.29,0,"710,062,000",90.74,
22/11/2019,154.968,83.44,0,364.755,92.49,0,190.54,94.14,0,"710,263,000",90.77,
23/11/2019,154.968,83.44,0,365.256,92.61,0,190.246,94,0,"710,470,000",90.79,
24/11/2019,154.693,83.29,3,366.103,92.83,15.5,189.952,93.85,0,"710,748,000",90.83,
25/11/2019,154.693,83.29,0,366.445,92.91,0,189.854,93.8,1,"710,992,000",90.86,
26/11/2019,154.693,83.29,0,366.963,93.05,0,189.56,93.66,0,"711,216,000",90.89,
27/11/2019,154.693,83.29,0,367.311,93.13,0,189.364,93.56,0,"711,368,000",90.91,
28/11/2019,154.968,83.44,0,367.836,93.27,0,188.972,93.37,0,"711,776,000",90.96,
29/11/2019,154.968,83.44,0,368.543,93.45,0,188.482,93.12,0,"711,993,000",90.99,
30/11/2019,154.693,83.29,0,368.543,93.45,0,187.992,92.88,0,"711,228,000",90.89,
,,,,,,,,,,,,
