fecha,villa victoria Almacenamiento,villa victoria porcentaje Almacenamiento,villa victoria lluvia,valle de bravo Almacenamiento,valle de bravo porcentaje Almacenamiento,valle de bravo lluvia,el bosque Almacenamiento,el bosque porcentaje Almacenamiento,el bosque lluvia,suma almacenamiento,almacenamiento
02/08/2018,111.893,60.24,0,284.173,72.05,13,128.712,63.59,0,"524,778,000",67.06
03/08/2018,112.829,60.75,19.5,284.173,72.05,12.6,129.536,64,11,"526,538,000",67.29
04/08/2018,113.062,60.87,8.5,284.173,72.05,18.3,130.669,64.56,7.7,"527,904,000",67.46
05/08/2018,113.53,61.13,7.8,284.019,72.01,2,132.317,65.37,1,"529,866,000",67.71
06/08/2018,113.53,61.13,9,284.327,72.09,29,135.098,66.75,49.8,"532,955,000",68.11
07/08/2018,114.466,61.63,45,285.104,72.29,6.6,136.849,67.61,4,"536,419,000",68.55
08/08/2018,114.934,61.88,9.5,285.732,72.45,0,138.291,68.33,0,"538,957,000",68.87
09/08/2018,115.636,62.26,4.3,286.048,72.53,0,139.874,69.11,1,"541,558,000",69.21
10/08/2018,116.104,62.51,2,286.365,72.61,0,141.148,69.74,0,"543,617,000",69.47
11/08/2018,116.571,62.76,1,286.048,72.53,1.5,142.618,70.46,0,"545,237,000",69.68
12/08/2018,117.039,63.02,6.5,286.048,72.53,0.5,143.892,71.09,3.4,"546,979,000",69.9
13/08/2018,117.507,63.27,3,286.206,72.57,1,145.166,71.72,8,"548,879,000",70.14
14/08/2018,117.507,63.27,0,287.003,72.77,1,146.538,72.4,0,"551,048,000",70.42
15/08/2018,118.229,63.66,5,287.003,72.77,2.6,147.91,73.08,4,"553,142,000",70.69
16/08/2018,118.738,63.93,1.5,287.163,72.81,3,148.94,73.59,3.6,"554,841,000",70.9
17/08/2018,120.01,64.61,11.3,287.163,72.81,4,149.84,74.03,0,"557,013,000",71.18
18/08/2018,120.773,65.03,0,287.324,72.85,1,151.01,74.61,0,"559,107,000",71.45
19/08/2018,121.791,65.57,25,287.324,72.85,2,152.36,75.28,10.5,"561,475,000",71.75
20/08/2018,123.826,66.67,33,287.485,72.89,0,153.35,75.77,0,"564,661,000",72.16
21/08/2018,124.844,67.22,5.8,287.969,73.02,10.3,154.43,76.3,3.2,"567,243,000",72.49
22/08/2018,125.093,67.35,4,288.456,73.14,2,155.78,76.97,5,"569,329,000",72.76
23/08/2018,125.861,67.77,6,288.782,73.22,5,157.13,77.63,5,"571,773,000",73.07
24/08/2018,127.388,68.59,2.5,289.109,73.31,0,158.528,78.32,12.5,"575,025,000",73.48
25/08/2018,128.151,69,10,289.273,73.35,4.9,159.468,78.79,6,"576,892,000",73.72
26/08/2018,128.66,69.27,10,290.097,73.56,2.5,159.75,78.93,2,"578,507,000",73.93
27/08/2018,129.677,69.82,4.2,290.097,73.56,0.4,160.878,79.49,0,"580,652,000",74.2
28/08/2018,130.441,70.23,3.4,291.094,73.81,1.9,162.006,80.04,4,"583,541,000",74.57
